date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:38	31098/31098	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jun%202022%2013:09:38%20GMT	https://enigma-software-template.webflow.io/home/startup	C:/My%20Web%20Sites/CA/enigma-software-template.webflow.io/home/startup.html	(from )
18:39:38	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2030%20Jun%202022%2013:09:38%20GMT	https://enigma-software-template.webflow.io/robots.txt		(from )
18:39:39	119510/119510	---M-Z	200	added ('OK')	text/css	etag:%222831f44b7f6599300e24cc2df33f1585%22	https://uploads-ssl.webflow.com/5d383a8df1f7ed4f58791999/css/enigma-software-template.webflow.ee08a6ee3.min.css	C:/My%20Web%20Sites/CA/uploads-ssl.webflow.com/5d383a8df1f7ed4f58791999/css/enigma-software-template.webflow.ee08a6ee3.min.css	(from https://enigma-software-template.webflow.io/home/startup)
18:39:39	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/CA/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://enigma-software-template.webflow.io/home/startup)
18:39:40	842/842	---M--	200	added ('OK')	image/png	etag:%22736e3b3280e0a97ea3a47cb78b41e7a5%22	https://uploads-ssl.webflow.com/5d383a8df1f7ed4f58791999/5d39d839eeeaad6bdb0f659e_fav.png	C:/My%20Web%20Sites/CA/uploads-ssl.webflow.com/5d383a8df1f7ed4f58791999/5d39d839eeeaad6bdb0f659e_fav.png	(from https://enigma-software-template.webflow.io/home/startup)
18:39:40	5179/5179	---M--	200	added ('OK')	image/png	etag:%22ce655699f8ca34ba1f981f708b720493%22	https://uploads-ssl.webflow.com/5d383a8df1f7ed4f58791999/5d383b2697a39ea76c3bd19f_clip.png	C:/My%20Web%20Sites/CA/uploads-ssl.webflow.com/5d383a8df1f7ed4f58791999/5d383b2697a39ea76c3bd19f_clip.png	(from https://enigma-software-template.webflow.io/home/startup)
18:39:40	35788/35788	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jun%202022%2013:09:40%20GMT	https://enigma-software-template.webflow.io/home/saas	C:/My%20Web%20Sites/CA/enigma-software-template.webflow.io/home/saas.html	(from https://enigma-software-template.webflow.io/home/startup)
18:39:40	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2030%20Jun%202022%2013:09:41%20GMT	https://enigma-software-template.webflow.io/home/application	C:/My%20Web%20Sites/CA/enigma-software-template.webflow.io/home/application	(from https://enigma-software-template.webflow.io/home/startup)
18:39:41	30391/30391	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jun%202022%2013:09:41%20GMT	https://enigma-software-template.webflow.io/home/company	C:/My%20Web%20Sites/CA/enigma-software-template.webflow.io/home/company.html	(from https://enigma-software-template.webflow.io/home/startup)
18:39:41	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2030%20Jun%202022%2013:09:41%20GMT	https://enigma-software-template.webflow.io/home/agency	C:/My%20Web%20Sites/CA/enigma-software-template.webflow.io/home/agency	(from https://enigma-software-template.webflow.io/home/startup)
18:39:41	28363/28363	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jun%202022%2013:09:41%20GMT	https://enigma-software-template.webflow.io/home/developers	C:/My%20Web%20Sites/CA/enigma-software-template.webflow.io/home/developers.html	(from https://enigma-software-template.webflow.io/home/startup)
18:39:41	3232/3232	---M--	200	added ('OK')	image/png	etag:%222f45350a4f163bb545fd38d0a16aeb53%22	https://uploads-ssl.webflow.com/5d383a8df1f7ed4f58791999/5d383abaf1f7ed7c08791a15_icons8-cardboard-box-100.png	C:/My%20Web%20Sites/CA/uploads-ssl.webflow.com/5d383a8df1f7ed4f58791999/5d383abaf1f7ed7c08791a15_icons8-cardboard-box-100.png	(from https://enigma-software-template.webflow.io/home/startup)
